"Brazil"	"BRA"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-12549590735"	"9420275577"	"-27518241273"	"-24601090274"	"-36032806300"	"-36918923577"	"-67689141256"	"-68093253945"	"-67490979326"	""
"Barbados"	"BRB"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-229131784.5"	"-297796463.5"	"-369465815.3"	"-468273111.7"	"-352359730.9"	"-329023165.8"	""	""	""	""
"Brunei Darussalam"	"BRN"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-175068516.6"	"-70382447.54"	"-257635717.5"	"-222184549.5"	"-325586827.8"	""	""	"-859061564.7"	""	""
"Bhutan"	"BTN"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-6122702.143"	"-73855769.76"	"-3144001.019"	"-18299707.23"	"-75274009.03"	"-31141614.86"	"-24380673.57"	"-49784378.01"	""
"Botswana"	"BWA"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-222704709.5"	"-436885495.9"	"-463034403.7"	"-612317194.6"	"-123017966.6"	"-134832420.1"	"-1103159379"	"-138417741.4"	"-189141462.6"	""
"Central African Republic"	"CAF"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Canada"	"CAN"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1725069777"	"-13941631258"	"-55286434401"	"18567341650"	"16775357301"	"6623329810"	"11774674034"	"12525974000"	"-22075593887"	""
"Central Europe and the Baltics"	"CEB"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Switzerland"	"CHE"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"51368902312"	"31562716792"	"18590543854"	"27293189256"	"-2954454437"	"51765124137"	"21533503178"	"34547737767"	"64916881839"	""
"Channel Islands"	"CHI"	"Foreign direct investment net (BoP current US$)"	"BN.KLT.DINV.CD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
