"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"East Asia and the Pacific (IFC classification)","CEA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe and Central Asia (IFC classification)","CEU","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11510","11553","11596","11639","11682","11725","11768","11811","11854","11897","11940","11986","12032","12078","12124","12170","12216","12262","12308","12354","12400","12446","","",
"Channel Islands","CHI","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","",
"Chile","CHL","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152630","153201","153772","154343","154914","155485","156056","156627","157198","157769","158340","158758","159176","159594","160012","160430","160806","161182","161558","161934","162310","162686","","",
"China","CHN","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1571406","1591265.9","1611125.8","1630985.7","1650845.6","1670705.5","1690565.4","1710425.3","1730285.2","1750145.1","1770005","1802091.8","1834178.6","1866265.4","1898352.2","1930439","1958072.4","1985705.8","2013339.2","2040972.6","2068606","2096239.4","","",
"Cote d'Ivoire","CIV","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102220","102326","102432","102538","102644","102750","102856","102962","103068","103174","103280","103434","103588","103742","103896","104050","104046","104042","104038","104034","104030","104026","","",
"Latin America and the Caribbean (IFC classification)","CLA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East and North Africa (IFC classification)","CME","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","243160","240960","238760","236560","234360","232160","229960","227760","225560","223360","221160","218960","216760","214560","212360","210160","207960","205760","203560","201360","199160","196960","","",
"Congo, Rep.","COG","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","227263","227093","226923","226753","226583","226413","226243","226073","225903","225733","225563","225393","225223","225053","224883","224713","224590","224470","224350","224230","224110","223990","","",
"Colombia","COL","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","625190","624180","623170","622160","621150","620140","619130","618120","617110","616100","615090","614080","613070","612060","611050","610040","609030","608020","607010","606000","604990","603980","","",
"Comoros","COM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120","116","112","108","104","100","96","92","88","84","80","74","68","62","56","50","46","42","38","34","30","26","","",
"Cape Verde","CPV","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","578","602","626","651","675","699","724","748","772","797","821","824","827","830","833","836","839","842","844.5","847.9","847.9","847.9","","",
"Costa Rica","CRI","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25640","25452","25264","25076","24888","24700","24512","24324","24136","23948","23760","23990","24220","24450","24680","24910","25138","25366","25594","25822","26050","26278","","",
"South Asia (IFC classification)","CSA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","328330.5","328223","328116.5","328009","327901.5","327795","327687.5","327580","327473.5","327366","327258.5","327150.7","327041.9","326933.1","326825.3","326716.5","326570.9","326426.3","326280.7","326135.4","325990.1","325844.8","","",
"Cuba","CUB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20580","20957","21334","21711","22088","22465","22842","23219","23596","23973","24350","24874","25398","25922","26446","26970","27316","27662","28008","28354","28700","29046","","",
"Curacao","CUW","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124","124","124","124","124","124","124","124","124","124","124","124","124","124","124","124","124","124","127","127","127","127","","",
"Cyprus","CYP","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1611","1621.6","1632.1","1642.6","1653.1","1663.6","1674.1","1684.6","1695.1","1705.6","1716.1","1718.6","1721.1","1723.5","1726","1728.5","1729.2","1729.8","1730.5","1731.2","1731.8","1732.5","","",
"Czech Republic","CZE","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26290","","","26314","26322","26330","26338","26346","26354","26362","26370","26390","26410","26430","26450","26470","26490","26510","26530","26550","26570","26590","","",
"Germany","DEU","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107410","107745","108080","108415","108750","109085","109420","109755","110090","110425","110760","110760","110760","110760","110760","110760","110760","110760","110760","110760","110760","110760","","",
"Djibouti","DJI","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","","",
"Dominica","DMA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","497","495","492","489","487","484","481","479","476","473","471","468","465","463","460","457","455","452","449.3","446.6","443.9","","",
"Denmark","DNK","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4450","4491","4532","4573","4614","4655","4696","4737","4778","4819","4860","4956","5052","5148","5244","5340","5360","5380","5400","5420","5440","5460","","",
"Dominican Republic","DOM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19720","19720","19720","19720","19720","19720","19720","19720","19720","19720","19720","19720","19720","19720","19720","19720","19720","19720","19720","19720","19720","19720","","",
"Algeria","DZA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16670","16582","16494","16406","16318","16230","16142","16054","15966","15878","15790","15704","15618","15532","15446","15360","15272","15184","15096","15008","14920","14832","","",
"East Asia & Pacific (developing only)","EAP","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4603700.5","4593906.7","4586102.9","4578299","4570495.1","4564687.1","4556883.8","4549082.5","4541279.2","4533476","4525674.7","4547181.4","4568690.2","4590196.9","4611705.7","4633212.3","4646467.7","4659723","4672978.3","4686233.7","4699489","4712743.9","","",
"East Asia & Pacific (all income levels)","EAS","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6552792.3","6543502.5","6536542.7","6529582.8","6522622.9","6517986.8","6511025.8","6504066.9","6497105.9","6490145.1","6483186.1","6502867.2","6522550.4","6542231.4","6561914.6","6581595.5","6585579.3","6589562.9","6593546.6","6597530.3","6601514","6605497.2","","",
"Europe & Central Asia (developing only)","ECA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","612190","220275","586496","587923","589355","590785","592213","593643","595072","596502","627961","600532","603132","605733","608333","641124","644528.6","647933.2","651338.8","654743.8","658148.9","661554","","",
"Europe & Central Asia (all income levels)","ECS","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10152122.6","1522161.9","10088787.1","10143494.3","10152684.5","10161869.7","10171053.9","10180241.1","10189426.3","10198613.5","10245369.7","10222383.8","10229426.9","10236470.9","10243513","10280747.1","10289643.8","10298540.4","10307437.6","10316335.9","10325232.8","10334130.2","","",
"Ecuador","ECU","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138170","136194","134218","132242","130266","128290","126314","124338","122362","120386","118410","116434","114458","112482","110506","108530","106554","104578","102602","100626","98650","96674","","",
"Egypt, Arab Rep.","EGY","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","440","455","470","485","500","515","530","545","560","575","590","606","622","638","654","670","676","682","688","694","700","706","","",
