"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Comoros","COM","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","0","0","0","0","31000","128000","357000","653000","2000","54000","96000","143000","197000","502000","2629000","5012000","7932000","9518000","12155000","12385000","11661000","12987000","9843000","5671000","6545000","7028000","7509000","7749000","11318000","15357000","16506000","18094000","21567000","21479000","22174000","7605000","5188000","4745000","4425000","4691000","4141000","",
"Cabo Verde","CPV","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","6000","12000","2000","0","23000","1525000","1842000","1411000","2069000","1857000","1928000","1606000","2544000","3314000","3902000","4067000","3407000","2569000","3464000","3908000","3310000","2909000","1784000","1046000","895000","721000","1287000","1442000","1502000","1500000","1500000","1500000","",
"Costa Rica","CRI","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","0","0","0","0","0","27000","315000","11000","387000","12778000","23109000","7898000","31110000","13179000","12857000","55633000","71831000","28375000","83293000","68712000","34521000","41529000","51020000","42667000","39542000","35111000","33964000","24805000","24058000","23175000","21857000","22161000","2232000","1815000","2024000","496000","0","0","0","0","0","",
"South Asia (IFC classification)","CSA","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czech Republic","CZE","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","87000","0","3000","0","0","1000","74000","160000","650000","1550000","2754000","3541000","4234000","4251000","6303000","6551000","6380000","7023000","5545000","7589000","8407000","8127000","9232000","4875000","721000","1100000","269000","431000","1270000","",
"Dominica","DMA","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","105000","200000","0","0","0","0","9000","2000","0","20000","49000","112000","9000","12000","264000","413000","1000","31000","33000","3000","13000","142000","206000","150000","705000","206000","225000","249000","0","0","0","0","",
"Denmark","DNK","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","1085000","237000","237000","288000","466000","567000","862000","1258000","3017000","6434000","6286000","14633000","42310000","7486000","53957000","116853000","150653000","162910000","304007000","64914000","61999000","62560000","118818000","156573000","175869000","75934000","56056000","89809000","21830000","16847000","22977000","25656000","18065000","14661000","3908000","7077000","2713000","43000","0","0","0","",
"Algeria","DZA","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81000","17000","281000","772000","65000","37000","37000","37000","37000","37000","0","0","33000","10000","11000","0","0","0","0","0","0","0","0","",
"East Asia & Pacific (developing only)","EAP","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","","","","","","","","","","","0","0","7779000","2000","43000","91000","199000","365000","252000","748000","1204000","1437000","2146000","3921000","5989000","3263000","3151000","26584000","135241000","712892000","1135806000","1430148000","1803686000","1770963000","2133558000","2374661000","2637450000","1824097000","2050998000","2256680000","657078000","686679000","863517000","999094000","1022096000","1014069000","914157000","1044494000","1083177000","1151286000","1269299000","1291170000","485727000","",
